timestamp,temp,humidity,rain,cloud,visibility,sunrise,sunset,pwr
1606755600,22,73,0,1,8000,1606778330,1606818778,0
1606759200,21,83,0,12,8000,1606778330,1606818778,0
1606762800,21,77,0,2,8000,1606778330,1606818778,0
1606766400,20.38,65,0,66,10000,1606778330,1606818778,0
1606770000,19,88,0,7,8000,1606778330,1606818778,0
1606773600,19,88,0,7,8000,1606778330,1606818778,0
1606777200,19,77,0,75,9000,1606778330,1606818778,2.172
1606780800,18.78,77,0,75,9000,1606778330,1606818778,25.704
1606784400,21.72,77,0,75,9000,1606778330,1606818778,51.012
1606788000,23.26,68,0,14,9000,1606778330,1606818778,83.732
1606791600,25.64,57,0,40,10000,1606778330,1606818778,111.148
1606795200,26.92,53,0,20,10000,1606778330,1606818778,119.62
1606798800,27.74,51,0,0,10000,1606778330,1606818778,123.048
1606802400,28.73,48,0,0,10000,1606778330,1606818778,96.288
1606806000,29.58,51,0,40,10000,1606778330,1606818778,76.94
1606809600,29.33,54,0,75,10000,1606778330,1606818778,41.768
1606813200,29.33,54,0,75,10000,1606778330,1606818778,20.604
1606816800,28,54,0,75,10000,1606778330,1606818778,1.628
1606820400,27.22,57,0,75,10000,1606778330,1606818778,0
1606824000,26.22,61,0,75,10000,1606778330,1606818778,0
1606827600,25.22,65,0,75,10000,1606778330,1606818778,0
1606831200,24.22,69,0,20,10000,1606778330,1606818778,0
1606834800,22.44,68,0,0,10000,1606778330,1606818778,0
1606838400,24,69,0,20,9000,1606778330,1606818778,0
1606842000,22,73,0,1,8000,1606864764,1606905189,0
1606845600,22,78,0,95,9000,1606864764,1606905189,0
1606849200,22.2,65,0,99,10000,1606864764,1606905189,0
1606852800,21,83,0,96,9000,1606864764,1606905189,0
1606856400,21.28,68,0,95,10000,1606864764,1606905189,0
1606860000,20,88,0,95,9000,1606864764,1606905189,0
1606863600,20,77,0,40,9000,1606864764,1606905189,1.384
1606867200,20.78,73,0,75,10000,1606864764,1606905189,22.06
